name,start_date,end_date,position
Mohammad Mahfud MD,2019-10-23,,"Coordinating Minister for Political, Legal, and Security Affairs"
Airlangga Hartarto,2019-10-23,,Coordinating Minister for Economic Affairs
Muhadjir Effendy,2019-10-23,,Coordinating Minister for Human Development and Culture
Luhut Binsar Pandjaitan,2019-10-23,,Coordinating Minister for Maritime Affairs and Investment
Pratikno,2019-10-23,,Minister of State Secretary
Muhammad Tito Karnavian,2019-10-23,,Minister of Home Affairs
Retno Lestari Priansari Marsudi,2019-10-23,,Minister of Foreign Affairs
Prabowo Subianto,2019-10-23,,Minister of Defense
Fachrul Razi,2019-10-23,2020-12-23,Minister of Religious Affairs
Yaqut Cholil Qoumas,2020-12-23,,Minister of Religious Affairs
Yasonna H. Laoly,2019-10-23,,Minister of Law and Human Rights
Sri Mulyani Indrawati,2019-10-23,,Minister of Finance
Nadiem Anwar Makarim,2019-10-23,2021-04-28,Minister of Education and Culture
Nadiem Anwar Makarim,2021-04-28,,"Minister of Education, Culture, Research, and Technology"
Terawan Agus Putranto,2019-10-23,2020-12-23,Minister of Health
Budi Gunadi Sadikin,2020-12-23,,Minister of Health
Juliari P. Batubara,2019-10-23,???,Minister of Social Affairs
Tri Rismaharini,2020-12-23,,Minister of Social Affairs
Ida Fauziyah,2019-10-23,,Minister of Manpower
Agus Gumiwang Kartasasmita,2019-10-23,,Minister of Industry
Agus Suparmanto,2019-10-23,2020-12-23,Minister of Trade
Muhammad Lutfi,2020-12-23,,Minister of Trade
Arifin Tasrif,2019-10-23,,Minister of Energy and Mineral Resources
Mochamad Basuki Hadimuljono,2019-10-23,,Minister of Public Works and Public Housing
Budi Karya Sumadi,2019-10-23,,Minister of Transportation
Johnny Gerard Plate,2019-10-23,,Minister of Communication and Informatics
Syahrul Yasin Limpo,2019-10-23,,Minister of Agriculture
Siti Nurbaya,2019-10-23,,Minister of the Environment and Forestry
Edhy Prabowo,2019-10-23,???,Minister of Maritime Affairs and Fisheries
Sakti Wahyu Trenggono,2020-12-23,,Minister of Maritime Affairs and Fisheries
A. Halim Iskandar,2019-10-23,,"Minister of Villages, Development of Disadvantaged Regions and Transmigration"
Sofyan A. Djalil,2019-10-23,,Minister of Agrarian and Spatial Planning
Sofyan A. Djalil,2019-10-23,,Head of the National Land Agency
Suharso Monoarfa,2019-10-23,,Minister of National Development Planning
Suharso Monoarfa,2019-10-23,,Head of the National Development Planning Agency
Tjahjo Kumolo,2019-10-23,,Minister of State Apparatus Empowerment and Bureaucratic Reform
Erick Thohir,2019-10-23,,Minister of State-Owned Enterprises
Teten Masduki,2019-10-23,,Minister of Cooperatives and Small and Medium Enterprises
Wishnutama Kusubandio,2019-10-23,2020-12-23,Minister of Tourism and Creative Economy
Sandiaga Salahuddin Uno,2020-12-23,,Minister of Tourism and Creative Economy
I Gusti Ayu Bintang Darmawati,2019-10-23,,Minister of Women’s Empowerment and Child Protection
Bambang Brodjonegoro,2019-10-23,2021-04-28,Minister of Research and Technology
Bambang Brodjonegoro,2019-10-23,2021-04-28,Head of the National Research and Innovation Agency
Zainuddin Amali,2019-10-23,,Minister of Youth and Sports
Bahlil Lahadalia,2019-10-23,2021-04-28,Chairman of the Investment Coordinating Board
Bahlil Lahadalia,2021-04-28,,Minister of Investment
Bahlil Lahadalia,2021-04-28,,Chairman of the Investment Coordinating Board
Pramono Anung Wibowo,2019-10-23,,Cabinet Secretary
ST Burhanuddin,2019-10-23,,Attorney General
Marshal Hadi Tjahjanto,2019-10-23,,Commander of the Indonesian National Defense Forces
Police Gen. Idham Azis,2019-11-01,???,Chief of the Indonesian National Police
Police Gen. Listyo Sigit Prabowo,2021-01-27,,Chief of the Indonesian National Police
Moeldoko,2019-10-23,,Presidential Chief of Staff
Ir. H. Joko Widodo,,,President
K.H. Ma’ruf Amin,,,Vice President
