province,provinceLabel,position,positionLabel,person,personLabel,start,psid
Q1823,Aceh,Q102251452,Gubernur Aceh,,,,
Q3125978,Bali,Q98073913,Gubernur Bali,,,,
Q3540,Banten,,,,,,
Q1890,Bengkulu,Q102251454,Gubernur Bengkulu,,,,
Q3741,Daerah Istimewa Yogyakarta,,,,,,
Q5067,Gorontalo,,,,,,
Q3630,Jakarta,,,,,,
Q2051,Jambi,Q97057913,Q97057913,,,,
Q3724,Jawa Barat,,,,,,
Q3557,Jawa Tengah,Q74372673,Gubernur Jawa Tengah,Q12483474,Ganjar Pranowo,2013-08-23,Q12483474-148ebf68-4c89-d8ea-2a3a-0dfda1d86ba2
Q3586,Jawa Timur,Q12479829,Gubernur Jawa Timur,,,,
Q3916,Kalimantan Barat,,,,,,
Q3906,Kalimantan Selatan,,,,,,
Q3891,Kalimantan Tengah,,,,,,
Q3899,Kalimantan Timur,,,,,,
Q3903,Kalimantan Utara,Q97097789,Q97097789,,,,
Q1866,Kepulauan Bangka Belitung,Q102251466,Gubernur Kepulauan Bangka Belitung,,,,
Q2223,Kepulauan Riau,,,,,,
Q2110,Lampung,,,,,,
Q5093,Maluku,,,,,,
Q5094,Maluku Utara,,,,,,
Q5062,Nusa Tenggara Barat,,,,,,
Q5061,Nusa Tenggara Timur,Q98073406,Gubernur Nusa Tenggara Timur,,,,
Q110601629,Nusantara,,,,,,
Q5095,Papua,,,,,,
Q5096,Papua Barat,,,,,,
Q2175,Riau,Q15939406,Gubernur Riau,Q15939327,Annas Maamun,2014-02-19,Q15939327-c42df05f-4a3b-6016-affa-1e845d152077
Q5082,Sulawesi Barat,,,,,,
Q5078,Sulawesi Selatan,Q74374433,Gubernur Sulawesi Selatan,Q19752310,Nurdin Abdullah,2018-09-05,Q19752310-ae7dd076-4e0e-4dda-ea66-39f0e7fa27e3
Q5065,Sulawesi Tengah,,,,,,
Q5075,Sulawesi Tenggara,,,,,,
Q5068,Sulawesi Utara,,,,,,
Q2772,Sumatra Barat,Q102251479,Gubernur Sumatra Barat,Q17410383,Mahyeldi,2020-02-25,Q17410383-3ae2262b-4de7-ac95-df9b-725296ffd559
Q2271,Sumatra Selatan,Q98766672,Gubernur Sumatra Selatan,,,,
Q2140,Sumatra Utara,Q66716873,Gubernur Sumatra Utara,,,,
